Актикул;Partnumber;Категория;Производитель;Название;Розничная цена;Мелкий опт;Валюта
161962;WEX40-220V-08 (с блендой);Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox WEX40-220V-08 (с блендой);141766;По запросу;Руб.
159459;SSEHX4E;Кожухи для видеокамер (Ex);PELCO;Козырек PELCO SSEHX4E;11420;14552;Руб.
168390;STH-5230S-HPOE;Кожухи для видеокамер (Ex);Smartec;Термокожух Smartec STH-5230S-HPOE;14813;По запросу;Руб.
159188;UHO-POE-10;Кожухи для видеокамер (Ex);BOSCH;Термокожух BOSCH UHO-POE-10;18518;19055;Руб.
135370;WHE26-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox WHE26-24V;12430;7201;Руб.
100435;TNR32-12V;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox TNR32-12V;25265;22859;Руб.
100416;SV26-03/04;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SV26-03/04;29302;26511;Руб.
100399;SVS26;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS26;7152;6471;Руб.
100381;LS320;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox LS320;7429;5545;Руб.
100365;ELS320-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox ELS320-24V;6721;5016;Руб.
158986;VGA-BUBBLE-CTIA;Кожухи для видеокамер (Ex);BOSCH;Купол BOSCH VGA-BUBBLE-CTIA;4697;5429;Руб.
166078;MX-D15-Vandal-ESMA;Кожухи для видеокамер (Ex);Mobotix;Антивандальный кожух Mobotix MX-D15-Vandal-ESMA;14817;По запросу;Руб.
100349;EL210;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox EL210;4001;2986;Руб.
159148;UHO-HBPS-11;Кожухи для видеокамер (Ex);BOSCH;Кожух BOSCH UHO-HBPS-11;17101;17544;Руб.
100428;SV26-08;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SV26-08;9708;8783;Руб.
100408;SVS26P;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS26P;11605;9396;Руб.
158774;VGA-BUBBLE-PTIA;Кожухи для видеокамер (Ex);BOSCH;Купол BOSCH VGA-BUBBLE-PTIA;5495;5724;Руб.
100392;SVS21;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS21;5162;4670;Руб.
100374;L260-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox L260-12V;6149;5490;Руб.
100358;ELS260;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox ELS260;6064;4526;Руб.
165413;SHB-4200;Кожухи для видеокамер (Ex);Samsung;Кожух Samsung SHB-4200;5416;По запросу;Руб.
124897;HPV36K2A000B;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HPV36K2A000B;6371;6223;Руб.
124834;HOT39K2A000;Кожухи для видеокамер (Ex);VIDEOTEC;Термокожух VIDEOTEC HOT39K2A000;4667;4519;Руб.
162019;WCH32;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WCH32;89403;По запросу;Руб.
124801;NTL1K1500;Кожухи для видеокамер (Ex);VIDEOTEC;Термокожух VIDEOTEC NTL1K1500;513871;503795;Руб.
162003;SVS32-42V-mbsc25;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox SVS32-42V-mbsc25 с кронштейном;10344;По запросу;Руб.
161971;SV32-03/04МNR;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox SV32-03/04МNR защитный для видеокамер;14462;По запросу;Руб.
159630;CIVS-IPCA-1020=;Кожухи для видеокамер (Ex);Cisco;Купол Cisco CIVS-IPCA-1020=;2936;3262;Руб.
118972;HEM-300H-220;Кожухи для видеокамер (Ex);LTV;Термокожух LTV HEM-300H-220;2900;По запросу;Руб.
162527;VDA-PLEN-DOME;Кожухи для видеокамер (Ex);BOSCH;Кожух BOSCH VDA-PLEN-DOME для крепления;6823;По запросу;Руб.
158440;UHI-OGS-0;Кожухи для видеокамер (Ex);BOSCH;Кожух BOSCH UHI-OGS-0;9925;10181;Руб.
124844;HOV32K2A000;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HOV32K2A000;9409;9186;Руб.
124812;NTW0K2000;Кожухи для видеокамер (Ex);VIDEOTEC;Кожух VIDEOTEC NTW0K2000;392960;385255;Руб.
140805;WHT465IP;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox WHT465IP;19929;14875;Руб.
162012;THM32H-24V-IR;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox THM32H-24V-IR для защиты тепловизоров;195619;По запросу;Руб.
161980;WHT465-24V;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox WHT465-24V защитный для телекамер;19262;По запросу;Руб.
134696;CMA025;Кожухи для видеокамер (Ex);Teleste;Кожух Teleste CMA025;11779;9557;Руб.
161964;WEX40-24V-08 (с блендой);Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox WEX40-24V-08 (с блендой);141766;По запросу;Руб.
118970;HEM-300H-12-220;Кожухи для видеокамер (Ex);LTV;Термокожух LTV HEM-300H-12-220;5800;По запросу;Руб.
106272;ICH-310HCB/24V;Кожухи для видеокамер (Ex);Infinity;Уличный гермокожух Infinity ICH-310HCB/24V;2885;3150;Руб.
134129;ТВК-18 ВБ-01;Кожухи для видеокамер (Ex);Тахион;Гермобокс Тахион ТВК-18 ВБ-01;61995;По запросу;Руб.
122178;SNCA-ICPTZ/C;Кожухи для видеокамер (Ex);Sony;Кожух декоративный Sony SNCA-ICPTZ/C;26855;33394;Руб.
100437;THM40H-220V;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox THM40H-220V;94419;80089;Руб.
100418;SV26P-03/04NR;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SV26P-03/04NR;18943;17139;Руб.
100401;SVS26-42V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS26-42V;10518;9516;Руб.
100383;WHE26;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox WHE26;7146;6465;Руб.
103072;STH-6230D-PSU2;Кожухи для видеокамер (Ex);Smartec;Термокожух Smartec STH-6230D-PSU2;24732;22840;Руб.
100367;L210-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox L210-12V;4962;3704;Руб.
158988;VGA-BUBHD-CTIA;Кожухи для видеокамер (Ex);BOSCH;Купол BOSCH VGA-BUBHD-CTIA;7178;7363;Руб.
100351;EL210-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox EL210-24V;4001;2986;Руб.
161973;SV26P-03/04МNR;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox SV26P-03/04МNR защитный для видеокамер;14890;По запросу;Руб.
159616;CIVS-IPCA-1003=;Кожухи для видеокамер (Ex);Cisco;Козырек Cisco CIVS-IPCA-1003=;2349;2610;Руб.
159408;EH5723;Кожухи для видеокамер (Ex);PELCO;Кожух PELCO EH5723;42874;54816;Руб.
159150;UHO-HGS-11;Кожухи для видеокамер (Ex);BOSCH;Кожух BOSCH UHO-HGS-11;12494;12817;Руб.
100430;WHM32;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WHM32;34075;По запросу;Руб.
100410;SVS26P-42V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS26P-42V;13445;12165;Руб.
100394;SVS21-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS21-24V;5162;4670;Руб.
103067;STH-1230S-PSU1;Кожухи для видеокамер (Ex);Smartec;Термокожух Smartec STH-1230S-PSU1;6852;6591;Руб.
100376;LS260;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox LS260;6874;5131;Руб.
100360;E320;Кожухи для видеокамер (Ex);Wizebox;Корпус термокожуха Wizebox E320;5759;4299;Руб.
100344;fresh 260S-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox fresh 260S-24V;5745;4288;Руб.
124957;HEK30K1Y000B;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HEK30K1Y000B;6816;6667;Руб.
124902;HGV52K1A100;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HGV52K1A100;85719;84015;Руб.
124873;HTV32K2A000;Кожухи для видеокамер (Ex);VIDEOTEC;Термокожух VIDEOTEC HTV32K2A000;77125;94832;Руб.
124836;HOT39D2A000;Кожухи для видеокамер (Ex);VIDEOTEC;Термокожух VIDEOTEC HOT39D2A000;3926;3778;Руб.
162005;WHE26-12V-mbsc25;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WHE26-12V-mbsc25 с кронштейном;13386;По запросу;Руб.
100420;SV26-03/04NR;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SV26-03/04NR;16800;15200;Руб.
100403;SVS32L-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS32L-12V;6022;5448;Руб.
100386;WHE32;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox WHE32;7729;6992;Руб.
100369;LS210;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox LS210;5515;4116;Руб.
158990;VGA-BUBLRG-CTIA;Кожухи для видеокамер (Ex);BOSCH;Купол BOSCH VGA-BUBLRG-CTIA;4697;5429;Руб.
100353;ELS210-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox ELS210-24V;4185;3123;Руб.
133097;MX-Q24M-Vandal-ESPO;Кожухи для видеокамер (Ex);Mobotix;Кожух Mobotix MX-Q24M-Vandal-ESPO;19855;По запросу;Руб.
124929;HEB32K1A000B;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HEB32K1A000B;9483;8742;Руб.
124849;HOV32K2A200;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HOV32K2A200;28449;27856;Руб.
140819;WEX40-24V-08;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WEX40-24V-08;122608;110933;Руб.
162014;THM32H-220V;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox THM32H-220V мини;94143;По запросу;Руб.
161966;SVS26PAV;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox SVS26PAV защитный для IP-камер;10640;По запросу;Руб.
159352;EH3512-3HD;Кожухи для видеокамер (Ex);PELCO;Термокожух PELCO EH3512-3HD;21404;21013;Руб.
110966;SHB-4300H1;Кожухи для видеокамер (Ex);Samsung;Кожух Samsung SHB-4300H1;12855;По запросу;Руб.
134158;ТГБ-4Г-24/12;Кожухи для видеокамер (Ex);Тахион;Гермобокс Тахион ТГБ-4Г-24/12;44897;По запросу;Руб.
134245;H2/220-12;Кожухи для видеокамер (Ex);RVi;Термокожух RVi H2/220-12;5280;6600;Руб.
100439;THM40HF-220V;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox THM40HF-220V;98463;83519;Руб.
135288;SA-38;Идентификаторы;Rosslare;Приемник Rosslare SA-38;10637;10571;Руб.
125377;001G02805;Дополнительное оборудование СКУД;CAME;Держатель CAME 001G02805;1168;По запросу;Руб.
125337;001DIR10;Дополнительное оборудование СКУД;CAME;Фотоэлемент CAME 001DIR10;2440;По запросу;Руб.
125314;001C010;Дополнительное оборудование СКУД;CAME;Редуктор CAME 001C010;3984;По запросу;Руб.
125565;VER 900 до 10м (2,25м);Шлагбаумы и автоматика;CAME;Комплект CAME VER 900 до 10м (2,25м);12150;По запросу;Руб.
125549;ATI 5024N;Шлагбаумы и автоматика;CAME;Комплект CAME ATI 5024N;50000;По запросу;Руб.
125517;009TAG;Дополнительное оборудование СКУД;CAME;Капсула CAME 009TAG;960;По запросу;Руб.
125439;001RBE4N;Дополнительное оборудование СКУД;CAME;Плата CAME 001RBE4N;4064;По запросу;Руб.
162490;ACD-MFC-ISO;Идентификаторы;BOSCH;Идентификатор BOSCH ACD-MFC-ISO;8849;По запросу;Руб.
125330;001DB-LN;Дополнительное оборудование СКУД;CAME;Стойка CAME 001DB-LN;1276;По запросу;Руб.
125593;UNIPARK4;Шлагбаумы и автоматика;CAME;Комплект CAME UNIPARK4;65592;По запросу;Руб.
125542;FROG;Шлагбаумы и автоматика;CAME;Комплект CAME FROG;61168;По запросу;Руб.
125499;002ZL170N;Дополнительное оборудование СКУД;CAME;Блок управления CAME 002ZL170N;7840;По запросу;Руб.
154300;PNSoft-Max;Сетевые СКУД;Parsec;Программное обеспечение Parsec PNSoft-Max;57213;По запросу;Руб.
154273;PNSoft-AR;Сетевые СКУД;Parsec;Модуль Parsec PNSoft-AR;10217;По запросу;Руб.
154236;ACTIVETAG.2;Идентификаторы;Parsec;Активные метки Parsec ACTIVETAG.2;1635;По запросу;Руб.
135305;SA-28G;Идентификаторы;Rosslare;Передатчик Rosslare SA-28G;3719;4046;Руб.
125938;AU01;Сетевые СКУД;PERCo;ИК-пульт PERCo AU01;654;939;Руб.
125350;001E782A;Дополнительное оборудование СКУД;CAME;Труба CAME 001E782A;768;По запросу;Руб.
168077;JA-112I;Радиоканальные системы безопасности;Jablotron;Индикатор Jablotron JA-112I;1629;По запросу;Руб.
135290;SA-25;Извещатели охранные;Rosslare;Приемник Rosslare SA-25;4829;5220;Руб.
125387;001G03000;Дополнительное оборудование СКУД;CAME;Устройство CAME 001G03000;22400;По запросу;Руб.
125339;001DIR30;Дополнительное оборудование СКУД;CAME;Фотоэлемент CAME 001DIR30;3136;По запросу;Руб.
125316;001CAR-4;Шлагбаумы и автоматика;CAME;Желоб CAME 001CAR-4;5840;По запросу;Руб.
125567;CBX;Шлагбаумы и автоматика;CAME;Комплект CAME СBX;26010;По запросу;Руб.
200041;KT-SMA-10Y;Сетевые СКУД;Gate;Удлинитель кабеля Gate KT-SMA-10Y;2470;2990;Руб.
125551;FERNI 1024;Шлагбаумы и автоматика;CAME;Комплект CAME FERNI 1024;66320;По запросу;Руб.
125485;002LB18;Дополнительное оборудование СКУД;CAME;Блок электроники CAME 002LB18;6160;По запросу;Руб.
154288;PNSoft-16;Сетевые СКУД;Parsec;Программное обеспечение Parsec PNSoft-16;20433;По запросу;Руб.
125409;001G0467;Дополнительное оборудование СКУД;CAME;Шарнир CAME 001G0467;8720;По запросу;Руб.
125352;001E787A;Дополнительное оборудование СКУД;CAME;Удлинитель CAME 001E787A;680;По запросу;Руб.
125332;001DF15;Дополнительное оборудование СКУД;CAME;Профиль CAME 001DF15;3352;По запросу;Руб.
125292;001ARK2;Шлагбаумы и автоматика;CAME;Барьер CAME 001ARK2;9592;По запросу;Руб.
125603;ATI 3000;Шлагбаумы и автоматика;CAME;Комплект CAME ATI 3000;30000;По запросу;Руб.
125560;BK-2200;Шлагбаумы и автоматика;CAME;Комплект CAME BK-2200;28160;По запросу;Руб.
125510;009CCT;Дополнительное оборудование СКУД;CAME;Цепь CAME 009CCT;3136;59;Руб.
125471;001V0670;Дополнительное оборудование СКУД;CAME;Плата CAME 001V0670;2440;По запросу;Руб.
154238;UIM-01;Сетевые СКУД;Parsec;Модуль Parsec UIM-01;1839;По запросу;Руб.
152488;ESIM022;;Eldes;Автодозвонщик Eldes ESIM022;4297;5037;Руб.
135247;MD-N33;Контроллеры;Rosslare;PSTN модем Rosslare MD-N33;14552;14291;Руб.
168096;JA-150R;Радиоканальные системы безопасности;Jablotron;Ретранслятор радиосигнала Jablotron JA-150R;19262;По запросу;Руб.
158496;API-AMC2-8IOE;Адресные системы пожарной сигнализации;BOSCH;Модуль расширения BOSCH API-AMC2-8IOE;43796;46401;Руб.
135299;SA-20;Извещатели охранные;Rosslare;Датчик Rosslare SA-20;5351;5807;Руб.
135157;MD-D02;Дополнительное оборудование СКУД;Rosslare;Плата Rosslare MD-D02;11420;12660;Руб.
125394;001G03755DX;Дополнительное оборудование СКУД;CAME;Шарнир CAME 001G03755DX;11680;По запросу;Руб.
125846;43,606;Дополнительное оборудование СКУД;OMA;Приемник пропусков OMA 43.606;61600;По запросу;Руб.
125341;001DIR-PN;Дополнительное оборудование СКУД;CAME;Стойка CAME 001DIR-PN;775;По запросу;Руб.
125325;001CMS;Дополнительное оборудование СКУД;CAME;Ручка CAME 001CMS;4720;По запросу;Руб.
156828;SNR-ERD-3s;Контроллеры;SNR;Устройство SNR SNR-ERD-3s;4241;По запросу;Руб.
125588;CAT 220;Шлагбаумы и автоматика;CAME;Комплект CAME CAT 220;76720;По запросу;Руб.
125569;CBX E24;Шлагбаумы и автоматика;CAME;Комплект CAME СBX E24;39060;По запросу;Руб.
125553;BX-243;Шлагбаумы и автоматика;CAME;Комплект CAME BX-243;14400;По запросу;Руб.
125533;KRONO 310;Шлагбаумы и автоматика;CAME;Комплект CAME KRONO 310;26640;По запросу;Руб.
163449;AG-200 (комплект);Дополнительное оборудование ОПС;Optimus;GSM-сигнализация Optimus AG-200 (комплект) беспроводная;4942;По запросу;Руб.
125487;002LB22;Дополнительное оборудование СКУД;CAME;Плата CAME 002LB22;1376;По запросу;Руб.
163433;PNOffice-08;Сетевые СКУД;Parsec;Программный комплекс Parsec PNOffice-08;6811;По запросу;Руб.
135280;GCK-01;Дополнительное оборудование СКУД;Rosslare;Комплект Rosslare GCK-01;47051;45223;Руб.
125961;BH01 0-00;Ограждения;PERCo;Патрубок PERCo BH01 0-00;396;569;Руб.
125361;001FL-180;Дополнительное оборудование СКУД;CAME;Цепная передача CAME 001FL-180;6320;По запросу;Руб.
125334;001DF20;Дополнительное оборудование СКУД;CAME;Профиль CAME 001DF20;4152;По запросу;Руб.
125310;001C002;Дополнительное оборудование СКУД;CAME;Разблокиратор CAME 001C002;1224;По запросу;Руб.
125562;BY-3500T;Шлагбаумы и автоматика;CAME;Комплект CAME BY-3500T;87920;По запросу;Руб.
200035;Relay;Сетевые СКУД;Gate;Плата Gate Relay релейная;917;1210;Руб.
125546;STYLO;Шлагбаумы и автоматика;CAME;Комплект CAME STYLO;41200;По запросу;Руб.
125512;009CGZ6;Дополнительное оборудование СКУД;CAME;Рейка CAME 009CGZ6;1784;По запросу;Руб.
125452;001SET-J;Дополнительное оборудование СКУД;CAME;Ключ CAME 001SET-J;1384;По запросу;Руб.
154280;PNSoft-AI;Сетевые СКУД;Parsec;Модуль Parsec PNSoft-AI;13622;По запросу;Руб.
154243;NI-A01-USB;Сетевые СКУД;Parsec;Интерфейс Parsec NI-A01-USB;3951;По запросу;Руб.
162487;ACD-ATR14CS;Идентификаторы;BOSCH;Идентификатор BOSCH ACD-ATR14CS;3755;По запросу;Руб.
152126;SmartGARD;;Tantos;Сигнализация Tantos SmartGARD;9462;По запросу;Руб.
152490;ESIM264;GSM мониторинг;Eldes;Охранная панель Eldes ESIM264;8223;9631;Руб.
125489;002LB54;Дополнительное оборудование СКУД;CAME;Плата CAME 002LB54;2984;По запросу;Руб.
163435;PNOffice-AR;Сетевые СКУД;Parsec;Модуль учета рабочего времени Parsec PNOffice-AR;10217;По запросу;Руб.
125465;001TOP-A433N;Дополнительное оборудование СКУД;CAME;Антенна CAME 001TOP-A433N;720;По запросу;Руб.
168163;JA-186JW;Радиоканальные системы безопасности;Jablotron;Брелок Jablotron JA-186JW;1926;По запросу;Руб.
158580;ISP-MCS2-FP110;Извещатели охранные;BOSCH;Магнитный контакт BOSCH ISP-MCS2-FP110;2881;3061;Руб.
154232;NIP-A01;Сетевые СКУД;Parsec;Интерфейс Parsec NIP-A01;1226;По запросу;Руб.
160359;ST-AC103RC;Кнопки выхода;Smartec;Пульт управления Smartec ST-AC103RC;587;По запросу;Руб.
136972;ST-ER115;Кнопки выхода;Smartec;Устройство разблокировки двери Smartec ST-ER115;652;978;Руб.
135301;SA-33;Идентификаторы;Rosslare;Передатчик Rosslare SA-33;1696;3197;Руб.
125932;IC02;Сетевые СКУД;PERCo;Картоприемник PERCo IC02;33028;47478;Руб.
125343;001DIRZ;Дополнительное оборудование СКУД;CAME;Защита CAME 001DIRZ;688;По запросу;Руб.
125327;001DBC01;Дополнительное оборудование СКУД;CAME;Комплект CAME 001DBC01;3512;По запросу;Руб.
125590;UNIPARK1;Шлагбаумы и автоматика;CAME;Комплект CAME UNIPARK1;19752;По запросу;Руб.
125571;EMEGA 456;Шлагбаумы и автоматика;CAME;Комплект CAME EMEGA 456;20640;По запросу;Руб.
125555;BX-68;Шлагбаумы и автоматика;CAME;Комплект CAME BX-68;15920;По запросу;Руб.
125537;AXO 7;Шлагбаумы и автоматика;CAME;Комплект CAME AXO 7;46880;По запросу;Руб.
158074;THP 2020 A;Дополнительное оборудование СКУД;BOSCH;Термопринтер BOSCH THP 2020 A;138961;146363;Руб.
135282;GCK-03;Дополнительное оборудование СКУД;Rosslare;Комплект Rosslare GCK-03;32694;31976;Руб.
137330;001DD-1KA;Дополнительное оборудование СКУД;CAME;Сигнальная лампа CAME 001DD-1KA;3024;По запросу;Руб.
125336;001DFI;Дополнительное оборудование СКУД;CAME;Плата CAME 001DFI;1168;По запросу;Руб.
125312;001C005;Дополнительное оборудование СКУД;CAME;Система CAME 001C005;4464;По запросу;Руб.
125564;BK-1200P;Шлагбаумы и автоматика;CAME;Комплект CAME BK-1200P;32800;По запросу;Руб.
125548;ATI 3024N;Шлагбаумы и автоматика;CAME;Комплект CAME ATI 3024N;48800;По запросу;Руб.
125516;009SMA2;Дополнительное оборудование СКУД;CAME;Датчик CAME 009SMA2;12240;По запросу;Руб.
163428;CNC-14-IP;Сетевые СКУД;Parsec;Ethernet–шлюз CNC-14-IP;20842;По запросу;Руб.
125438;001PSRT02;Дополнительное оборудование СКУД;CAME;Кабель CAME 001PSRT02;2656;По запросу;Руб.
154283;PNSoft-PI;Сетевые СКУД;Parsec;Модуль Parsec PNSoft-PI;14985;По запросу;Руб.
154247;PNSoft-VV;Сетевые СКУД;Parsec;Модуль Parsec PNSoft-VV;5109;По запросу;Руб.
162489;ACD-ICL2K-2AR;Идентификаторы;BOSCH;Идентификатор BOSCH ACD-ICL2K-2AR;33964;По запросу;Руб.
152492;EWR2;GSM мониторинг;Eldes;Ретранслятор Eldes EWR2;5482;6371;Руб.
125592;UNIPARK3;Шлагбаумы и автоматика;CAME;Комплект CAME UNIPARK3;50312;По запросу;Руб.
159097;ICP-MAP0111;Адресные системы пожарной сигнализации;BOSCH;Корпус панели BOSCH ICP-MAP0111;27610;29332;Руб.
125573;H1003;Шлагбаумы и автоматика;CAME;Комплект CAME H1003;13560;По запросу;Руб.
125557;BX-246;Шлагбаумы и автоматика;CAME;Комплект CAME BX-246;22720;По запросу;Руб.
125491;002LBD2;Дополнительное оборудование СКУД;CAME;Плата CAME 002LBD2;1488;По запросу;Руб.
163437;PNOffice-WS;Сетевые СКУД;Parsec;Модуль дополнительной рабочей станции Parsec PNOffice-WS;4428;По запросу;Руб.
125447;001S0002;Дополнительное оборудование СКУД;CAME;Блок электроники CAME 001S0002;3080;По запросу;Руб.
154299;PNSoft-DS;Сетевые СКУД;Parsec;Модуль Parsec PNSoft-DS;52786;По запросу;Руб.
154234;NMO-04;Сетевые СКУД;Parsec;Расширитель Parsec NMO-04;1226;По запросу;Руб.
135304;SA-27G;Идентификаторы;Rosslare;Передатчик Rosslare SA-27G;3458;3719;Руб.
135244;MD-08B;Дополнительное оборудование СКУД;Rosslare;Программатор Rosslare MD-08B;5220;5090;Руб.
125349;001E781A;Дополнительное оборудование СКУД;CAME;Принадлежности для передающей системы CAME 001E781A;768;По запросу;Руб.
125329;001DBC04;Дополнительное оборудование СКУД;CAME;Фотоэлемент CAME 001DBC04;2288;По запросу;Руб.
137334;001G03755SX;Дополнительное оборудование СКУД;CAME;Шарнир CAME 001G03755SX;11680;По запросу;Руб.
161636;SNR-tunablebox;Считыватели;SNR;Программатор XFP/SFP SNR SNR-tunablebox;67020;По запросу;Руб.
136949;ST-DH605U;Замки;Smartec;Фиксатор Smartec ST-DH605U;2349;2871;Руб.
135289;SA-22;Приёмно-контрольные приборы;Rosslare;Приемник Rosslare SA-22;5807;6330;Руб.
125430;001H3000;Дополнительное оборудование СКУД;CAME;Система CAME 001H3000;3760;По запросу;Руб.
137440;IC03;Сетевые СКУД;PERCo;Картоприемник PERCo IC03;33028;47478;Руб.
125338;001DIR20;Дополнительное оборудование СКУД;CAME;Фотоэлемент CAME 001DIR20;2872;По запросу;Руб.
125315;001CAR-2;Шлагбаумы и автоматика;CAME;Желоб CAME 001CAR-2;5840;По запросу;Руб.
125566;VER 700 до 14м (2,25м);Шлагбаумы и автоматика;CAME;Комплект CAME VER 700 до 14м (2,25м);18900;По запросу;Руб.
125520;119RIP100;Дополнительное оборудование СКУД;CAME;Разблокиратор CAME 119RIP100;1064;По запросу;Руб.
125484;002BN1;Дополнительное оборудование СКУД;CAME;Плата CAME 002BN1;1800;По запросу;Руб.
125440;001RBE4RC;Дополнительное оборудование СКУД;CAME;Приемник CAME 001RBE4RC;8736;По запросу;Руб.
158493;API-AMC2-16IOE;Адресные системы пожарной сигнализации;BOSCH;Модуль расширения BOSCH API-AMC2-16IOE;51840;54923;Руб.
125408;001G0465;Дополнительное оборудование СКУД;CAME;Шторка CAME 001G0465;6000;По запросу;Руб.
135150;CP-R26;Считыватели;Rosslare;Программатор карт Rosslare CP-R26;37915;37262;Руб.
125351;001E785A;Дополнительное оборудование СКУД;CAME;Тяга CAME 001E785A;1936;По запросу;Руб.
125331;001DELTA-I;Дополнительное оборудование СКУД;CAME;Фотоэлемент CAME 001DELTA-I;2440;По запросу;Руб.
125559;BK-1800;Шлагбаумы и автоматика;CAME;Комплект CAME BK-1800;24800;По запросу;Руб.
125543;Super Frog;Шлагбаумы и автоматика;CAME;Комплект CAME Super Frog;699920;По запросу;Руб.
125508;002ZR24;Дополнительное оборудование СКУД;CAME;Блок управления CAME 002ZR24;4080;По запросу;Руб.
154302;PNSoft-PRO;Сетевые СКУД;Parsec;Программное обеспечение Parsec PNSoft-PRO;170275;По запросу;Руб.
154237;ActiveTag.I2;Идентификаторы;Parsec;Активные метки Parsec ActiveTag.I2;1839;По запросу;Руб.
152485;ELAN3-ALARM;Контроллеры;Eldes;Коммуникатор Eldes ELAN3-ALARM;3630;4222;Руб.
135246;MD-N32;Контроллеры;Rosslare;Конвертер Rosslare MD-N32;12138;11876;Руб.
158495;API-AMC2-4WE;Адресные системы пожарной сигнализации;BOSCH;Модуль расширения BOSCH API-AMC2-4WE;69715;73862;Руб.
135291;SA-29;Идентификаторы;Rosslare;Повторитель Rosslare SA-29;5024;5481;Руб.
125393;001G03751;Дополнительное оборудование СКУД;CAME;Держатель CAME 001G03751;1696;По запросу;Руб.
125845;43,601;Дополнительное оборудование СКУД;OMA;Приемник пропусков OMA 43.601;50435;По запросу;Руб.
125340;001DIR-LN;Дополнительное оборудование СКУД;CAME;Стойка CAME 001DIR-LN;1272;По запросу;Руб.
125317;001CAT-15;Шлагбаумы и автоматика;CAME;Цепь CAME 001CAT-15;3680;По запросу;Руб.
137342;SCB12-1,2;Дополнительное оборудование СКУД;CAME;Аккумулятор CAME SCB12-1,2;640;По запросу;Руб.
156827;SNR-ERD-3c;Контроллеры;SNR;Устройство SNR SNR-ERD-3c;3393;По запросу;Руб.
125568;CBXK;Шлагбаумы и автоматика;CAME;Комплект CAME CBXK;26400;По запросу;Руб.
125552;FROG 24;Шлагбаумы и автоматика;CAME;Комплект CAME FROG 24;77760;По запросу;Руб.
125532;PSSRV1;Дополнительное оборудование СКУД;CAME;Светофор CAME PSSRV1;5200;По запросу;Руб.
125486;002LB180;Дополнительное оборудование СКУД;CAME;Плата CAME 002LB180;6224;По запросу;Руб.
